
1.031300E-02	-1.49755E00	1.12451E01 
1.087000E-02	9.35525E00	1.81286E01 
1.142800E-02	2.14044E01	6.90466E00 
1.198500E-02	3.25884E01	3.90771E00 
1.254300E-02	3.51782E01	7.47973E00 
1.310000E-02	4.20501E01	2.51083E00 
1.365800E-02	3.74982E01	2.08426E00 
1.421500E-02	4.51576E01	1.84181E00 
1.477200E-02	4.06753E01	1.72006E00 
1.533000E-02	4.36425E01	1.58364E00 
1.588700E-02	4.36691E01	1.45865E00 
1.644500E-02	4.25055E01	1.41538E00 
1.700200E-02	4.40290E01	1.34671E00 
1.756000E-02	4.27696E01	1.27922E00 
1.811700E-02	4.24803E01	1.25563E00 
1.867500E-02	4.44872E01	1.15137E00 
1.923200E-02	4.34320E01	1.16902E00 
1.978900E-02	4.34303E01	1.11867E00 
2.034700E-02	4.23652E01	1.10302E00 
2.090400E-02	4.19074E01	1.06140E00 
2.146200E-02	4.21981E01	1.04671E00 
2.201900E-02	4.30049E01	9.92871E-01 
2.257700E-02	3.91955E01	9.76746E-01 
2.313400E-02	4.00356E01	9.67920E-01 
2.369200E-02	4.21917E01	9.41618E-01 
2.424900E-02	4.20290E01	9.27550E-01 
2.480700E-02	4.09585E01	9.33461E-01 
2.536400E-02	3.98027E01	8.91906E-01 
2.592100E-02	4.04816E01	8.90405E-01 
2.647900E-02	4.03416E01	8.83679E-01 
2.703600E-02	3.95386E01	8.26615E-01 
2.759400E-02	4.17483E01	8.39908E-01 
2.815100E-02	4.00494E01	8.26447E-01 
2.870900E-02	3.71881E01	8.09412E-01 
2.926600E-02	3.93710E01	8.10023E-01 
2.982400E-02	3.70488E01	8.09457E-01 
3.038100E-02	3.81167E01	7.82629E-01 
3.093800E-02	3.97678E01	7.87400E-01 
3.149600E-02	3.79149E01	7.66557E-01 
3.205300E-02	3.80816E01	7.49055E-01 
3.261100E-02	3.73547E01	7.44082E-01 
3.316800E-02	3.72223E01	7.37373E-01 
3.372600E-02	3.62245E01	7.27241E-01 
3.428300E-02	3.71440E01	7.31995E-01 
3.484100E-02	3.50259E01	7.11409E-01 
3.539800E-02	3.60851E01	7.06074E-01 
3.595500E-02	3.66659E01	6.79611E-01 
3.651300E-02	3.66968E01	7.44342E-01 
3.707000E-02	3.46871E01	6.91035E-01 
3.762800E-02	3.50484E01	6.87226E-01 
3.818500E-02	3.52369E01	6.63304E-01 
3.874300E-02	3.51377E01	6.68403E-01 
3.930000E-02	3.42959E01	6.51907E-01 
3.985800E-02	3.30095E01	6.36434E-01 
4.041500E-02	3.34248E01	6.47226E-01 
4.097300E-02	3.40638E01	6.39233E-01 
4.153000E-02	3.25938E01	6.30030E-01 
4.208700E-02	3.29699E01	6.24986E-01 
4.264500E-02	3.24968E01	6.22560E-01 
4.320200E-02	3.13579E01	6.09563E-01 
4.376000E-02	3.21559E01	6.16923E-01 
4.431700E-02	3.16896E01	5.98173E-01 
4.487500E-02	3.01774E01	5.71404E-01 
4.543200E-02	3.14083E01	5.86008E-01 
4.599000E-02	3.04989E01	5.86626E-01 
4.654700E-02	3.06460E01	5.82764E-01 
4.710400E-02	2.96547E01	5.94537E-01 
4.766200E-02	2.92693E01	5.70063E-01 
4.821900E-02	2.94078E01	5.62242E-01 
4.877700E-02	3.02720E01	5.75309E-01 
4.933400E-02	3.00432E01	5.45115E-01 
4.989200E-02	2.79426E01	5.41045E-01 
5.044900E-02	2.83334E01	5.45553E-01 
5.100700E-02	2.71822E01	5.33870E-01 
5.156400E-02	2.71123E01	5.46329E-01 
5.212100E-02	2.66774E01	5.37435E-01 
5.267900E-02	2.67505E01	5.65224E-01 
5.323600E-02	2.69596E01	5.32978E-01 
5.379400E-02	2.69991E01	5.29499E-01 
5.435100E-02	2.54667E01	5.14663E-01 
5.490900E-02	2.47530E01	5.14458E-01 
5.546600E-02	2.53601E01	5.15501E-01 
5.602400E-02	2.49492E01	5.15356E-01 
5.658100E-02	2.41504E01	5.14443E-01 
5.713800E-02	2.45189E01	5.04696E-01 
5.769600E-02	2.46832E01	5.00872E-01 
5.825300E-02	2.33462E01	4.98810E-01 
5.881100E-02	2.44632E01	4.95420E-01 
5.936800E-02	2.34336E01	4.97942E-01 
5.992600E-02	2.29441E01	4.86314E-01 
6.048300E-02	2.31908E01	4.88225E-01 
6.104100E-02	2.25983E01	4.90002E-01 
6.159800E-02	2.20290E01	4.88441E-01 
6.215500E-02	2.18742E01	4.80496E-01 
6.271300E-02	2.23055E01	4.75971E-01 
6.327000E-02	2.13551E01	4.71285E-01 
6.382800E-02	2.04854E01	4.66500E-01 
6.438500E-02	2.16266E01	4.68594E-01 
6.494300E-02	2.07667E01	4.76851E-01 
6.550000E-02	2.03099E01	4.68994E-01 
6.605700E-02	2.07039E01	4.56076E-01 
6.661500E-02	1.94851E01	4.65623E-01 
6.717200E-02	1.95720E01	4.53825E-01 
6.773000E-02	1.97432E01	4.86404E-01 
6.828700E-02	1.97830E01	4.81712E-01 
6.884500E-02	1.82647E01	4.41605E-01 
6.940200E-02	1.86916E01	4.40540E-01 
6.996000E-02	1.86539E01	4.46558E-01 
7.051700E-02	1.86981E01	4.43561E-01 
7.107400E-02	1.77921E01	4.38424E-01 
7.163200E-02	1.72741E01	4.38449E-01 
7.218900E-02	1.78158E01	4.29936E-01 
7.274700E-02	1.74891E01	4.33377E-01 
7.330400E-02	1.72418E01	4.28463E-01 
7.386200E-02	1.63284E01	4.36542E-01 
7.441900E-02	1.66942E01	4.42604E-01 
7.497700E-02	1.67263E01	4.28232E-01 
7.553400E-02	1.70532E01	4.35813E-01 
7.609100E-02	1.55292E01	4.34730E-01 
7.664900E-02	1.61359E01	4.18978E-01 
7.720600E-02	1.52482E01	4.25183E-01 
7.776400E-02	1.53988E01	4.17056E-01 
7.832100E-02	1.56172E01	4.18632E-01 
7.887900E-02	1.49506E01	4.14152E-01 
7.943600E-02	1.49712E01	4.14405E-01 
7.999300E-02	1.33799E01	4.11768E-01 
8.055100E-02	1.36620E01	4.06555E-01 
8.110800E-02	1.36647E01	4.02456E-01 
8.166600E-02	1.42403E01	4.03794E-01 
8.222300E-02	1.41204E01	4.01028E-01 
8.278100E-02	1.27225E01	3.96637E-01 
8.333800E-02	1.32473E01	3.89557E-01 
8.389500E-02	1.24703E01	3.92140E-01 
8.445300E-02	1.20853E01	3.91711E-01 
8.501000E-02	1.18942E01	3.89968E-01 
8.556800E-02	1.27876E01	3.90991E-01 
8.612500E-02	1.22462E01	3.84964E-01 
8.668300E-02	1.21128E01	4.05837E-01 
8.724000E-02	1.11686E01	3.79260E-01 
8.779800E-02	1.14543E01	4.01005E-01 
8.835500E-02	1.16891E01	3.79541E-01 
8.891200E-02	1.10577E01	3.84399E-01 
